	State	Line of Best Fit	r value	P-Value	H0 or Ha
0	Nebraska	30.42972496	"[[ 1.         -0.12263075]
 [-0.12263075  1.        ]]"	0.10344662927838834	Ha
1	Georgia	-62.37795102	"[[ 1.         -0.24797463]
 [-0.24797463  1.        ]]"	0.057061921607172605	H0
2	Kansas	-24.69876742	"[[1.         0.16351002]
 [0.16351002 1.        ]]"	0.0810567381890489	H0
3	South Carolina	3.45159263	"[[ 1.         -0.06203071]
 [-0.06203071  1.        ]]"	0.0014497805923726675	H0
4	Arizona	-1317.0270435	"[[ 1.         -0.24102793]
 [-0.24102793  1.        ]]"	0.29408761160273045	Ha
5	Nevada	-2.04762542	"[[1.         0.27698794]
 [0.27698794 1.        ]]"	0.4003645993796707	Ha
6	Texas	125.39152221	"[[1.         0.15400744]
 [0.15400744 1.        ]]"	0.08001694436883111	H0
7	Michigan	-12.93934157	"[[ 1.         -0.24922139]
 [-0.24922139  1.        ]]"	0.052276695724465	H0
8	Connecticut	-4.45334401	"[[ 1.         -0.49637462]
 [-0.49637462  1.        ]]"	0.03487522764344876	H0
9	Iowa	18.74643425	"[[ 1.         -0.03831405]
 [-0.03831405  1.        ]]"	0.014252413031187166	H0
10	Minnesota	84.36824672	"[[1.         0.05530203]
 [0.05530203 1.        ]]"	0.049132737972821694	H0
11	Idaho	1.04118242	"[[ 1.         -0.38590082]
 [-0.38590082  1.        ]]"	0.12361681144697081	Ha
12	Vermont	22.29867837	"[[1.         0.12235156]
 [0.12235156 1.        ]]"	0.031770736938408525	H0
13	Massachusetts	-16.25045043	"[[ 1.         -0.49692713]
 [-0.49692713  1.        ]]"	0.004990089579247299	H0
14	Wisconsin	-3.8551124	"[[1.         0.12841278]
 [0.12841278 1.        ]]"	0.09612175858613575	H0
15	Montana	11.9254707	"[[1.         0.23986569]
 [0.23986569 1.        ]]"	0.1947320101830939	Ha
16	Maine	-20.71226017	"[[ 1.        -0.4244962]
 [-0.4244962  1.       ]]"	0.1161446898629407	Ha
17	Tennessee	1.54095694	"[[ 1.         -0.16386895]
 [-0.16386895  1.        ]]"	0.0006103717821857132	H0
18	Illinois	0.12177827	"[[1.         0.08070383]
 [0.08070383 1.        ]]"	0.007209433188875338	H0
19	Delaware	-53.95712177	"[[ 1.        -0.4059265]
 [-0.4059265  1.       ]]"	0.11680354840667348	Ha
20	Florida	-5.65559458	"[[ 1.         -0.04020534]
 [-0.04020534  1.        ]]"	0.06267162939882863	H0
21	Missouri	5.51560122	"[[1.         0.11232268]
 [0.11232268 1.        ]]"	0.03899074805969465	H0
22	Kentucky	212.07516765	"[[1.         0.07388784]
 [0.07388784 1.        ]]"	0.2854189973148108	Ha
23	Mississippi	6.60577524	"[[ 1.         -0.32816923]
 [-0.32816923  1.        ]]"	0.2482315958082834	Ha
24	Alabama	-1.38206706	"[[ 1.         -0.05977619]
 [-0.05977619  1.        ]]"	4.055886468856771e-06	H0
25	Hawaii	702.36100983	"[[ 1. -1.]
 [-1.  1.]]"	0.3135519129106393	Ha
26	South Dakota	75.95338417	"[[1.         0.19151126]
 [0.19151126 1.        ]]"	0.3101271417754574	Ha
27	Utah	-13.33501424	"[[1.         0.15651047]
 [0.15651047 1.        ]]"	0.1534083476226046	Ha
28	North Carolina	209.2071453	"[[1.         0.05853617]
 [0.05853617 1.        ]]"	2.6336975070765378e-05	H0
29	California	5.59892569	"[[ 1.         -0.18671919]
 [-0.18671919  1.        ]]"	0.02955493911681375	H0
30	Colorado	4.72885574	"[[1.         0.42854595]
 [0.42854595 1.        ]]"	0.012335955742205409	H0
31	Ohio	-1.22247282	"[[1.         0.09600346]
 [0.09600346 1.        ]]"	0.008599237060468721	H0
32	Indiana	-10.94257086	"[[1.         0.19061187]
 [0.19061187 1.        ]]"	0.02783513347673123	H0
33	New Mexico	2.66156584	"[[1.         0.25319191]
 [0.25319191 1.        ]]"	0.15691272803010167	Ha
34	New Hampshire	-0.11928115	"[[1.         0.10838614]
 [0.10838614 1.        ]]"	0.035442534449759915	H0
35	Pennsylvania	-21.13361162	"[[ 1.         -0.08771966]
 [-0.08771966  1.        ]]"	0.1060681890725312	Ha
36	New York	-3.82907906	"[[ 1.         -0.07187211]
 [-0.07187211  1.        ]]"	0.002359688896399663	H0
37	Oregon	-242.70092874	"[[ 1.         -0.12909106]
 [-0.12909106  1.        ]]"	0.042519226053359505	H0
38	Maryland	38.47152933	"[[1.         0.29996936]
 [0.29996936 1.        ]]"	0.1369151032502656	Ha
39	Wyoming	1.4950664	"[[1.         0.22671133]
 [0.22671133 1.        ]]"	0.611041287242432	Ha
40	Oklahoma	9.70575159	"[[1.        0.1366513]
 [0.1366513 1.       ]]"	0.23480758205580707	Ha
41	New Jersey	-35.39847624	"[[ 1.         -0.18194633]
 [-0.18194633  1.        ]]"	0.17638728888977517	Ha
42	North Dakota	1300.30538112	"[[ 1.         -0.10821692]
 [-0.10821692  1.        ]]"	0.31885711153578394	Ha
43	Washington	37.62643124	"[[1.         0.13281377]
 [0.13281377 1.        ]]"	0.05878880242143723	H0
44	West Virginia	0.03806599	"[[1.         0.06046114]
 [0.06046114 1.        ]]"	0.04796344920966408	H0
45	Virginia	119.81967319	"[[1.         0.05718094]
 [0.05718094 1.        ]]"	0.18964003052631714	Ha
46	Rhode Island	-37.7269819	"[[1.         0.99987333]
 [0.99987333 1.        ]]"	0.15360628894910772	Ha
47	Arkansas	102.21431805	"[[1.         0.00183176]
 [0.00183176 1.        ]]"	0.1299139948442951	Ha
